id,political,racial/ethnic,religious,gender/sexual,other
spa_59c4f04c087e7ea9a65daef167965ba2,1,0,0,0,0
spa_328edc44d86194a75e7491facc3e39a2,0,0,0,0,0
spa_1915f9a56e2e6f1454d3779eb3ee0677,0,0,0,1,0
spa_04b8c2408bf003c354774d5f846124d0,1,0,0,1,0
spa_f6cf0cc338cd95a33fbcc9e8493e68c7,0,0,1,0,0
spa_9044ced391e110db8ddd22f1efbad9d7,1,1,0,0,0
spa_73b289f6189c3ac05b15d33178dc3d0e,0,0,0,1,0
spa_c315edcaa6589034f370657b319ea689,0,1,1,0,0
spa_03ac06f646d84b15407ddcbf67e26ef9,0,0,0,0,1
spa_bb04ba94006a6613d3954eb8b8a65e6a,1,0,0,1,0
spa_95475fede08f692c509b936bd67fbfbb,1,0,0,1,0
spa_aa39d0dfdafff3125e5b3ea312d7b97d,0,0,0,1,0
spa_8ed04e8d7cda201c0d18d5e4a00390e4,0,1,0,0,0
spa_95f64aebe11528618a1ee725afa6cb4c,0,0,0,0,0
spa_d5924a0bebe6353535a9f68f650cd8ae,0,1,0,0,0
spa_0951d12a59b4274f42108d7fc52db744,0,0,0,0,0
spa_eea3d6efff24f2b9e513e774fc28b9f5,0,0,0,0,0
spa_344f424307844c04d03401775ac4d72e,0,0,0,1,0
spa_6cb60bc3d3b48143739675ba16afc1aa,0,0,1,0,0
spa_a9090255b3ea73e760642e07afab34e9,0,0,0,1,0
spa_55df729fcfbabcef6bfc770c7a941cc6,0,0,1,0,0
spa_d3b81302090c92db0c5af5ba8c0c4a7a,1,0,0,1,0
spa_685a630c5c97d085d4004e9693df4c33,0,1,1,0,0
spa_c60b9c8ab8ab5d5f39a24fe52616622e,1,0,0,0,0
spa_713e7764d0691611d77dc8d806eccb77,0,0,0,0,0
spa_44ce6c07f7b1d0a2b6412a1666396880,0,0,0,0,0
spa_4f01cefa046c42e9fd36e7de28315424,0,0,0,1,0
spa_08becf6e0ac73b82ebc4c006a5fb90df,0,1,0,0,0
spa_01c0efa33c9c1a164c0f43782e6ad6a4,0,0,0,0,0
spa_8bf3812b5f15ba42ae2f1cef97fe219e,1,0,1,0,0
spa_ddb0ec87c1e256635096a2d2ecd624ac,0,0,0,1,0
spa_d1944d5e355c4ada6ca040ac70048255,0,1,0,0,0
spa_3e339f0ff4925ab1c10aa414530ec6c3,0,1,0,0,0
spa_6eb89f43a13a05310cb9304de1bb056b,1,1,0,0,0
spa_53f0decd9f902de2410a890a36bec9fc,0,0,1,0,0
spa_77e38d8a67b31cb534532a0356b0c2a9,0,0,0,0,0
spa_fd70bd72ca9aeb21b4da614892cd0f62,1,0,0,0,0
spa_38d53ece76d5db1811f5ddc66daee526,0,0,0,0,0
spa_43943afdba2e62eda60cef45968d67ab,0,1,0,0,0
spa_3b0e9f95503aed83dcf6d32aad4f3d3c,0,0,0,0,0
spa_b4863938df14c6f6f553dc4013a1faa0,0,0,0,0,0
spa_1db036ea19e594a78cce74c0fcf6162c,0,0,0,0,0
spa_2c40c2237af2587b5377052bb19f2ab6,0,1,0,0,0
spa_dcefb530ad3c1d415fac45f0946fd91d,1,0,0,1,0
spa_8bca68afea5cae1f0aab02f1772ffb66,0,0,0,1,0
spa_7647b92a06585240f6629904899433e1,0,0,0,0,0
spa_379071176a157d354f841e740873dca9,0,0,0,0,0
spa_10f8817dce18bfa54bbb18dae3a1140d,0,0,1,0,0
spa_7104dc6c02c06efe3089c8010c695acc,0,0,0,1,0
spa_d2dca9ca7a772693a15e2b59970cab37,0,1,0,0,1
spa_2ce258200c6ded42cac18ba1acd316c4,1,1,0,0,1
spa_d14cd9489fae0b1d0e157a06e24d0d3b,0,0,1,0,0
spa_20837c34a2b38a1fd11b467f88a3552b,1,0,1,0,0
spa_bc1855371fea0b72e556607dc812192a,0,0,0,0,0
spa_a86477fc7ae9f2f33fb341fa6ccc2fa6,0,1,0,0,0
spa_e48cee3bab475320c635c20f0943eb69,0,1,0,0,0
spa_12599e3470af29bec338fd0244d37e2e,0,0,0,0,0
spa_3f6389481e3608236c72ccbfff46d70e,1,0,0,0,1
